timestamp,event_type,description
2026-04-22 20:26:03,CLEAN_DONE,Ciclo de limpeza finalizado com sucesso
2026-04-22 20:26:19,CLEAN_DONE,Ciclo de limpeza finalizado com sucesso
2026-04-22 20:32:02,CLEAN_DONE,Ciclo de limpeza finalizado com sucesso
